"No.","Time","Source","Destination","Protocol","Length","Rank","Sequence Number","DODAGID","Info"
"329","1745.667849","","","IEEE 802.15.4","5","","138","","Ack"
"330","1764.691227","fe80::212:4b00:1193:101","fe80::212:4b00:1192:fd83","ICMPv6","102","403","34","","RPL Control (DODAG Information Object)"
"331","1764.691722","fe80::212:4b00:1193:101","fe80::212:4b00:1192:fd83","ICMPv6","102","403","34","","RPL Control (DODAG Information Object)"
"332","1764.715514","fe80::212:4b00:1193:101","fe80::212:4b00:1192:fd83","ICMPv6","102","403","34","","RPL Control (DODAG Information Object)"
"333","1764.715998","fe80::212:4b00:1193:101","fe80::212:4b00:1192:fd83","ICMPv6","102","403","34","","RPL Control (DODAG Information Object)"
"334","1764.758933","fe80::212:4b00:1193:101","fe80::212:4b00:1192:fd83","ICMPv6","102","403","34","","RPL Control (DODAG Information Object)"
"335","1764.759478","fe80::212:4b00:1193:101","fe80::212:4b00:1192:fd83","ICMPv6","102","403","34","","RPL Control (DODAG Information Object)"
"336","1764.788875","fe80::212:4b00:1193:101","fe80::212:4b00:1192:fd83","ICMPv6","102","403","34","","RPL Control (DODAG Information Object)"
"337","1764.818678","fe80::212:4b00:1193:101","fe80::212:4b00:1192:fd83","ICMPv6","102","403","34","","RPL Control (DODAG Information Object)"
"338","1776.639720","fe80::212:4b00:1665:2a04","fe80::212:4b00:1193:101","ICMPv6","102","263","72","","RPL Control (DODAG Information Object)"
"339","1776.640144","","","IEEE 802.15.4","5","","72","","Ack"
"340","1824.763306","fe80::212:4b00:1193:101","fe80::212:4b00:1665:2a04","ICMPv6","102","405","35","","RPL Control (DODAG Information Object)"
"341","1824.763583","","","IEEE 802.15.4","5","","35","","Ack"
"342","1847.385178","fe80::212:4b00:1665:2a04","fe80::212:4b00:1665:3283","ICMPv6","102","261","73","","RPL Control (DODAG Information Object)"
"343","1847.385612","","","IEEE 802.15.4","5","","73","","Ack"
"344","1867.314911","fe80::212:4b00:1193:101","fe80::212:4b00:1192:fd83","ICMPv6","102","403","36","","RPL Control (DODAG Information Object)"
"345","1867.315399","fe80::212:4b00:1193:101","fe80::212:4b00:1192:fd83","ICMPv6","102","403","36","","RPL Control (DODAG Information Object)"
"346","1867.356729","fe80::212:4b00:1193:101","fe80::212:4b00:1192:fd83","ICMPv6","102","403","36","","RPL Control (DODAG Information Object)"
"347","1867.357150","fe80::212:4b00:1193:101","fe80::212:4b00:1192:fd83","ICMPv6","102","403","36","","RPL Control (DODAG Information Object)"
"348","1867.401759","fe80::212:4b00:1193:101","fe80::212:4b00:1192:fd83","ICMPv6","102","403","36","","RPL Control (DODAG Information Object)"
"349","1867.402177","fe80::212:4b00:1193:101","fe80::212:4b00:1192:fd83","ICMPv6","102","403","36","","RPL Control (DODAG Information Object)"
"350","1867.431678","fe80::212:4b00:1193:101","fe80::212:4b00:1192:fd83","ICMPv6","102","403","36","","RPL Control (DODAG Information Object)"
"351","1867.461427","fe80::212:4b00:1193:101","fe80::212:4b00:1192:fd83","ICMPv6","102","403","36","","RPL Control (DODAG Information Object)"
"352","1882.641353","fe80::212:4b00:1665:2a04","fe80::212:4b00:1192:fd83","ICMPv6","102","257","74","","RPL Control (DODAG Information Object)"
"353","1882.641741","fe80::212:4b00:1665:2a04","fe80::212:4b00:1192:fd83","ICMPv6","102","257","74","","RPL Control (DODAG Information Object)"
"354","1882.671443","fe80::212:4b00:1665:2a04","fe80::212:4b00:1192:fd83","ICMPv6","102","257","74","","RPL Control (DODAG Information Object)"
"355","1882.723336","fe80::212:4b00:1665:2a04","fe80::212:4b00:1192:fd83","ICMPv6","102","257","74","","RPL Control (DODAG Information Object)"
"356","1882.723785","fe80::212:4b00:1665:2a04","fe80::212:4b00:1192:fd83","ICMPv6","102","257","74","","RPL Control (DODAG Information Object)"
"357","1882.751478","fe80::212:4b00:1665:2a04","fe80::212:4b00:1192:fd83","ICMPv6","102","257","74","","RPL Control (DODAG Information Object)"
"358","1882.751854","fe80::212:4b00:1665:2a04","fe80::212:4b00:1192:fd83","ICMPv6","102","257","74","","RPL Control (DODAG Information Object)"
"359","1915.301186","fe80::212:4b00:1193:101","fe80::212:4b00:1665:2a04","ICMPv6","102","403","37","","RPL Control (DODAG Information Object)"
"360","1915.301333","","","IEEE 802.15.4","5","","37","","Ack"
"361","1928.591701","fe80::212:4b00:1665:2a04","fe80::212:4b00:1193:101","ICMPv6","102","257","75","","RPL Control (DODAG Information Object)"
"362","1928.592179","","","IEEE 802.15.4","5","","75","","Ack"
