"No.","Time","Source","Destination","Protocol","Length","Rank","Sequence Number","Info"
"295","917.988144","fe80::212:4b00:1193:101","fe80::212:4b00:1192:fd83","ICMPv6","76","","48","RPL Control (Destination Advertisement Object)"
"297","918.013229","fe80::212:4b00:1192:fd83","fe80::212:4b00:1665:3283","ICMPv6","76","","166","RPL Control (Destination Advertisement Object)"
"299","963.014938","fe80::212:4b00:1665:2a04","ff02::1a","ICMPv6","97","132","96","RPL Control (DODAG Information Object)"
"300","968.550142","fe80::212:4b00:1665:2a04","fe80::212:4b00:1192:fd83","ICMPv6","102","132","97","RPL Control (DODAG Information Object)"
"302","981.360927","fe80::212:4b00:1192:fd83","ff02::1a","ICMPv6","97","261","167","RPL Control (DODAG Information Object)"
"303","987.211123","fe80::212:4b00:1193:101","ff02::1a","ICMPv6","97","437","49","RPL Control (DODAG Information Object)"
"304","987.570799","fe80::212:4b00:1193:101","fe80::212:4b00:1665:2a04","ICMPv6","102","437","50","RPL Control (DODAG Information Object)"
"306","999.991577","fe80::212:4b00:1192:fd83","fe80::212:4b00:1665:2a04","ICMPv6","102","261","168","RPL Control (DODAG Information Object)"
"308","1021.607662","fe80::212:4b00:1193:101","fe80::212:4b00:1192:fd83","ICMPv6","102","437","51","RPL Control (DODAG Information Object)"
"310","1041.918311","fe80::212:4b00:1192:fd83","fe80::212:4b00:1193:101","ICMPv6","102","261","169","RPL Control (DODAG Information Object)"
"312","1051.563760","fe80::212:4b00:1665:2a04","fe80::212:4b00:1193:101","ICMPv6","102","132","98","RPL Control (DODAG Information Object)"
"314","1090.250113","fe80::212:4b00:1193:101","fe80::212:4b00:1665:2a04","ICMPv6","102","432","52","RPL Control (DODAG Information Object)"
"316","1116.230658","fe80::212:4b00:1665:2a04","fe80::212:4b00:1665:3283","ICMPv6","102","132","99","RPL Control (DODAG Information Object)"
"318","1125.366142","fe80::212:4b00:1192:fd83","fe80::212:4b00:1665:3283","ICMPv6","102","261","170","RPL Control (DODAG Information Object)"
